"sample_id","parcel_id","input","reference_lon","reference_lat","geocoder","matched_address","census_candidates","geocode_lon","geocode_lat","distance_m","same_cell","in_reference_disk","reference_zcta","geocode_zcta","reference_council_district","geocode_council_district","flag","reviewer_verdict","reviewer_notes"
86,"075056  00010","3137 OLD HORN LAKE RD, Memphis, TN",-90.070664,35.063046,"census","3137 HORN LAKE RD, MEMPHIS, TN, 38109",1,-90.070326,35.062906,34.5,FALSE,TRUE,"38109","38109","6","6","","",""
87,"079167  00034","1272 RYANWOOD AV, Memphis, TN",-90.021551,34.998633,"census","1272 RYANWOOD AVE, MEMPHIS, TN, 38116",1,-90.021321,34.998508,25.1,FALSE,TRUE,"38116","38116","3","3","","",""
88,"082010  00062","3765 SEWANEE RD, Memphis, TN",-90.120173,35.046027,"census","3765 SEWANEE RD, MEMPHIS, TN, 38109",1,-90.121086,35.045269,118.4,TRUE,TRUE,"38109","38109","6","6","over 100 m","",""
89,"061019  00011","1129 HAMILTON ST, Memphis, TN",-89.977968,35.106804,"census","1129 HAMILTON ST, MEMPHIS, TN, 38114",1,-89.977841,35.106889,15,TRUE,TRUE,"38114","38114","4","4","","",""
90,"095317 A00017","7014 TULIP TRAIL DR, Memphis, TN",-89.829315,35.186769,"census","7014 TULIP TRAIL DR, MEMPHIS, TN, 38133",1,-89.829261,35.186636,15.5,TRUE,TRUE,"38133","38133","1","1","","",""
91,"073051  00034","4223 KENOSHA RD, Memphis, TN",-89.922272,35.068005,"census","4223 KENOSHA RD, MEMPHIS, TN, 38118",1,-89.923308,35.068104,95.2,FALSE,TRUE,"38118","38118","4","4","","",""
92,"062025  00006","2113 CHARLESTON RD, Memphis, TN",-89.931578,35.189622,"census","2113 CHARLESTON RD, MEMPHIS, TN, 38128",1,-89.930457,35.188293,179.3,FALSE,TRUE,"38128","38128","7","7","over 100 m","",""
93,"073010  00005C","3360 OLD GETWELL RD, Memphis, TN",-89.934552,35.056656,"census","3360 OLD GETWELL RD, MEMPHIS, TN, 38118",1,-89.934987,35.056924,49.6,TRUE,TRUE,"38118","38118","3","3","","",""
94,"045039  00014","507 HAYNES ST, Memphis, TN",-89.966745,35.118036,"census","507 HAYNES ST, MEMPHIS, TN, 38111",1,-89.966582,35.118117,17.3,TRUE,TRUE,"38111","38111","5","5","","",""
95,"042057  00015","1326 BRYAN ST, Memphis, TN",-89.974067,35.172153,"census","1326 BRYAN ST, MEMPHIS, TN, 38108",1,-89.974221,35.172433,34.1,TRUE,TRUE,"38108","38108","7","7","","",""
96,"036021  00012","1552 TUTWILER AV, Memphis, TN",-90.00693,35.155638,"census","1552 TUTWILER AVE, MEMPHIS, TN, 38107",1,-90.006933,35.155475,18,TRUE,TRUE,"38107","38107","5","5","","",""
